creator_id,creator_segment,region,channel_size,creator_tenure_months
CRT-00001,Established,UK,374681,51
CRT-00002,Emerging,Other,732,104
CRT-00003,Established,India,100000,85
CRT-00004,Growth,India,11120,17
CRT-00005,Emerging,Other,4176,13
CRT-00006,Large,Southeast Asia,1497221,44
CRT-00007,Growth,Canada,18483,111
CRT-00008,Established,India,532637,6
CRT-00009,Emerging,US,3685,23
CRT-00010,Growth,Canada,27234,4
CRT-00011,Emerging,US,1059,50
CRT-00012,Established,US,183641,119
CRT-00013,Growth,UK,30139,83
CRT-00014,Established,Canada,519191,60
CRT-00015,Emerging,Other,1878,18
CRT-00016,Emerging,US,2394,43
CRT-00017,Growth,US,48273,63
CRT-00018,Emerging,Other,525,33
CRT-00019,Established,US,312674,85
CRT-00020,Growth,US,23218,118
CRT-00021,Growth,US,10000,25
CRT-00022,Emerging,Southeast Asia,244,31
CRT-00023,Large,Other,1000000,16
CRT-00024,Established,Canada,273411,88
CRT-00025,Established,UK,212836,56
CRT-00026,Emerging,US,1552,35
CRT-00027,Growth,India,71358,27
CRT-00028,Emerging,India,485,9
CRT-00029,Emerging,US,1310,58
CRT-00030,Growth,US,31326,82
CRT-00031,Growth,India,18617,29
CRT-00032,Large,US,2022467,1
CRT-00033,Emerging,Southeast Asia,372,57
CRT-00034,Emerging,UK,4137,82
CRT-00035,Growth,US,19133,42
CRT-00036,Emerging,India,6803,31
CRT-00037,Emerging,Canada,1305,19
CRT-00038,Growth,Canada,44982,90
CRT-00039,Emerging,Other,1283,104
CRT-00040,Growth,India,26492,93
CRT-00041,Emerging,Other,839,63
CRT-00042,Established,US,213517,87
CRT-00043,Growth,India,31539,48
CRT-00044,Emerging,US,715,3
CRT-00045,Established,India,184420,45
CRT-00046,Established,India,137852,85
CRT-00047,Emerging,US,8431,78
CRT-00048,Emerging,Canada,1246,119
CRT-00049,Growth,India,58256,120
CRT-00050,Emerging,US,1145,30
CRT-00051,Emerging,US,1648,2
CRT-00052,Emerging,India,465,33
CRT-00053,Established,India,152018,106
CRT-00054,Growth,India,29889,98
CRT-00055,Growth,US,59456,12
CRT-00056,Established,Canada,227109,20
CRT-00057,Growth,Other,53737,68
CRT-00058,Growth,India,37062,80
CRT-00059,Emerging,UK,4924,118
CRT-00060,Emerging,Other,1277,91
CRT-00061,Growth,Other,88886,26
CRT-00062,Growth,Southeast Asia,21105,5
CRT-00063,Growth,Other,18338,77
CRT-00064,Growth,Other,14690,67
CRT-00065,Growth,Canada,86293,111
CRT-00066,Growth,India,40527,70
CRT-00067,Growth,US,22764,61
CRT-00068,Emerging,US,3638,37
CRT-00069,Emerging,India,2321,11
CRT-00070,Emerging,India,6456,106
CRT-00071,Emerging,India,388,100
CRT-00072,Emerging,Southeast Asia,1083,20
CRT-00073,Established,Southeast Asia,150615,85
CRT-00074,Emerging,Other,276,44
CRT-00075,Emerging,US,3128,53
CRT-00076,Emerging,US,1078,102
CRT-00077,Emerging,Canada,2420,102
CRT-00078,Growth,Other,87543,23
CRT-00079,Growth,Other,22547,37
CRT-00080,Established,Other,154400,99
CRT-00081,Growth,Other,28547,111
CRT-00082,Emerging,India,2950,10
CRT-00083,Established,India,141488,101
CRT-00084,Emerging,US,808,59
CRT-00085,Emerging,Southeast Asia,3120,71
CRT-00086,Emerging,Other,1813,10
CRT-00087,Growth,India,10000,82
CRT-00088,Growth,Southeast Asia,14578,82
CRT-00089,Emerging,US,4451,80
CRT-00090,Growth,US,32891,95
CRT-00091,Emerging,US,727,114
CRT-00092,Growth,US,24705,102
CRT-00093,Emerging,Other,1353,90
CRT-00094,Emerging,India,2412,118
CRT-00095,Emerging,Other,451,81
CRT-00096,Growth,UK,17668,81
CRT-00097,Emerging,US,1666,66
CRT-00098,Emerging,US,1236,93
CRT-00099,Emerging,Other,2116,9
CRT-00100,Large,US,1000000,61
CRT-00101,Established,Other,246293,52
CRT-00102,Growth,US,46434,110
CRT-00103,Emerging,UK,1977,9
CRT-00104,Large,Other,2185550,78
CRT-00105,Established,US,187675,23
CRT-00106,Growth,US,17722,107
CRT-00107,Emerging,Other,1264,103
CRT-00108,Emerging,US,3669,29
CRT-00109,Emerging,India,1217,105
CRT-00110,Established,India,116554,60
CRT-00111,Growth,US,21033,117
CRT-00112,Emerging,Canada,1572,88
CRT-00113,Emerging,Canada,993,5
CRT-00114,Growth,India,34291,25
CRT-00115,Emerging,Other,2035,49
CRT-00116,Established,US,338876,26
CRT-00117,Growth,US,54818,16
CRT-00118,Growth,Southeast Asia,44264,118
CRT-00119,Emerging,Other,634,105
CRT-00120,Growth,US,17123,53
CRT-00121,Growth,US,25903,26
CRT-00122,Growth,Southeast Asia,21470,22
CRT-00123,Emerging,Other,538,110
CRT-00124,Emerging,US,940,40
CRT-00125,Emerging,India,916,2
CRT-00126,Growth,Canada,19227,48
CRT-00127,Emerging,India,1040,55
CRT-00128,Emerging,US,3438,75
CRT-00129,Emerging,US,1570,41
CRT-00130,Growth,India,92587,111
CRT-00131,Emerging,India,1535,78
CRT-00132,Established,Other,167035,119
CRT-00133,Growth,UK,26958,45
CRT-00134,Emerging,UK,1644,79
CRT-00135,Growth,Other,33443,44
CRT-00136,Emerging,India,7054,84
CRT-00137,Large,India,1097203,90
CRT-00138,Growth,Other,41337,39
CRT-00139,Established,US,225178,113
CRT-00140,Emerging,Canada,381,103
CRT-00141,Growth,Canada,39551,108
CRT-00142,Growth,US,50706,27
CRT-00143,Established,India,118859,87
CRT-00144,Growth,US,26783,13
CRT-00145,Growth,US,11353,13
CRT-00146,Emerging,India,489,117
CRT-00147,Emerging,US,3097,19
CRT-00148,Growth,Canada,21307,104
CRT-00149,Emerging,Other,551,52
CRT-00150,Emerging,Other,1609,37
CRT-00151,Established,US,145299,9
CRT-00152,Established,US,149867,82
CRT-00153,Emerging,US,2419,87
CRT-00154,Growth,US,15050,57
CRT-00155,Emerging,Other,649,98
CRT-00156,Growth,India,29057,39
CRT-00157,Emerging,US,2908,67
CRT-00158,Growth,Other,49965,35
CRT-00159,Growth,India,19292,70
CRT-00160,Growth,US,42988,17
CRT-00161,Emerging,US,715,58
CRT-00162,Established,UK,594648,66
CRT-00163,Emerging,Canada,540,67
CRT-00164,Emerging,US,3876,54
CRT-00165,Growth,Other,19375,78
CRT-00166,Emerging,Other,6704,62
CRT-00167,Established,Other,283450,34
CRT-00168,Established,US,108054,26
CRT-00169,Emerging,US,882,78
CRT-00170,Large,Other,3425735,113
CRT-00171,Emerging,India,3109,91
CRT-00172,Growth,Southeast Asia,25968,77
CRT-00173,Emerging,Canada,1388,111
CRT-00174,Established,US,313329,108
CRT-00175,Emerging,Canada,1488,61
CRT-00176,Emerging,Other,475,14
CRT-00177,Emerging,Canada,698,77
CRT-00178,Large,India,2337479,75
CRT-00179,Established,Other,412210,34
CRT-00180,Growth,Southeast Asia,60354,102
CRT-00181,Established,Canada,317336,105
CRT-00182,Established,Other,236185,40
CRT-00183,Growth,Canada,39120,58
CRT-00184,Emerging,US,785,24
CRT-00185,Established,US,181327,22
CRT-00186,Growth,US,17817,32
CRT-00187,Emerging,Southeast Asia,493,44
CRT-00188,Emerging,Southeast Asia,1749,33
CRT-00189,Growth,Southeast Asia,29518,19
CRT-00190,Emerging,India,2321,54
CRT-00191,Established,Canada,275865,75
CRT-00192,Emerging,Other,1626,40
CRT-00193,Emerging,US,2090,65
CRT-00194,Established,Canada,193762,33
CRT-00195,Emerging,UK,1863,85
CRT-00196,Emerging,Southeast Asia,749,78
CRT-00197,Growth,US,32365,116
CRT-00198,Established,Canada,296870,7
CRT-00199,Emerging,Other,783,103
CRT-00200,Emerging,Canada,1396,41
CRT-00201,Established,Other,136740,8
CRT-00202,Large,Other,1371540,83
CRT-00203,Growth,India,15329,21
