conversation_id,creator_id,conversation_date,ai_version,issue_type,issue_complexity,region,creator_segment,entry_channel,eligible_for_ai,ai_used,experiment_group,ai_response_time_sec,ai_contained,ai_response_quality,ai_error_flag,resolution_status,resolution_type,human_escalated,human_handling_time_min,csat_score,repeat_contact_7d,conversation_duration_min
CNV-2026-0000001,CRT-00889,2026-01-01,None,Monetization,Medium,Canada,Emerging,Mobile_App,True,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,12.49,5,False,14.24
CNV-2026-0000002,CRT-00524,2026-01-01,V1,Memberships,Medium,US,Growth,Creator_Studio,True,True,Pre_Experiment,2.13,False,Medium,False,Resolved,Human_Resolved,True,9.77,,False,10.38
CNV-2026-0000003,CRT-00758,2026-01-01,V1,Revenue & Payments,Medium,Canada,Established,Mobile_App,True,True,Pre_Experiment,2.86,True,High,False,Resolved,AI_Resolved,False,0.0,,False,0.65
CNV-2026-0000004,CRT-00618,2026-01-01,V1,Channel Access,High,US,Emerging,Help_Center,True,True,Pre_Experiment,3.54,True,Medium,False,Resolved,AI_Resolved,False,0.0,,False,2.71
CNV-2026-0000005,CRT-00535,2026-01-01,V1,Monetization,Medium,US,Emerging,Email_Form,True,True,Pre_Experiment,1.44,True,High,False,Resolved,AI_Resolved,False,0.0,5,False,2.6
CNV-2026-0000006,CRT-00269,2026-01-01,V1,Channel Access,Medium,US,Emerging,Creator_Studio,True,True,Pre_Experiment,4.99,True,High,False,Unresolved,Unresolved_Contained,False,0.0,1,True,0.93
CNV-2026-0000007,CRT-00807,2026-01-01,V1,Creator Tools,Low,Southeast Asia,Growth,Help_Center,True,True,Pre_Experiment,3.55,True,High,False,Resolved,AI_Resolved,False,0.0,,False,2.76
CNV-2026-0000008,CRT-00935,2026-01-01,None,Shorts,Low,UK,Established,Help_Center,False,False,Non_Experiment,,False,,False,Resolved,Human_Resolved,True,5.51,,False,8.46
CNV-2026-0000009,CRT-01179,2026-01-01,V1,Copyright,Medium,Canada,Emerging,Creator_Studio,True,True,Pre_Experiment,1.34,False,Medium,False,Resolved,Human_Resolved,True,19.05,,False,21.36
CNV-2026-0000010,CRT-01421,2026-01-01,V1,Monetization,Low,Other,Growth,Creator_Studio,True,True,Pre_Experiment,2.34,True,Medium,False,Resolved,AI_Resolved,False,0.0,5,False,1.7
