creator_id,creator_segment,region,channel_size,creator_tenure_months
CRT-00001,Established,Other,204602,110
CRT-00002,Emerging,Other,676,73
CRT-00003,Established,Other,261842,104
CRT-00004,Growth,India,29294,31
CRT-00005,Emerging,Southeast Asia,1124,59
CRT-00006,Large,Southeast Asia,2901141,17
CRT-00007,Growth,US,10869,83
CRT-00008,Established,Other,143717,84
CRT-00009,Emerging,UK,663,15
CRT-00010,Growth,UK,18261,66
CRT-00011,Emerging,US,1184,73
CRT-00012,Established,US,115149,107
CRT-00013,Growth,Other,62223,13
CRT-00014,Established,US,260667,88
CRT-00015,Emerging,US,709,75
CRT-00016,Emerging,UK,332,39
CRT-00017,Growth,UK,20096,24
CRT-00018,Emerging,US,1028,16
CRT-00019,Established,US,135812,13
CRT-00020,Growth,Canada,95917,77
CRT-00021,Growth,Other,11765,86
CRT-00022,Emerging,India,1395,42
CRT-00023,Large,Canada,1810379,112
CRT-00024,Established,India,171188,20
CRT-00025,Established,UK,100000,18
CRT-00026,Emerging,Southeast Asia,1294,69
CRT-00027,Growth,Other,29442,88
CRT-00028,Emerging,Canada,2363,80
CRT-00029,Emerging,US,1971,118
CRT-00030,Growth,US,49470,35
CRT-00031,Growth,Other,10000,45
CRT-00032,Large,US,1682042,87
CRT-00033,Emerging,UK,9932,31
CRT-00034,Emerging,India,3127,9
CRT-00035,Growth,US,13007,88
CRT-00036,Emerging,UK,1437,88
CRT-00037,Emerging,India,579,25
CRT-00038,Growth,Other,21681,13
CRT-00039,Emerging,US,6632,11
CRT-00040,Growth,US,43444,83
CRT-00041,Emerging,US,397,8
CRT-00042,Established,US,125601,53
CRT-00043,Growth,UK,26914,3
CRT-00044,Emerging,India,1084,19
CRT-00045,Established,US,239890,106
CRT-00046,Established,Other,124914,3
CRT-00047,Emerging,US,999,109
CRT-00048,Emerging,India,714,102
CRT-00049,Growth,Other,22385,80
CRT-00050,Emerging,UK,2352,106
CRT-00051,Emerging,India,1698,96
CRT-00052,Emerging,Other,764,45
CRT-00053,Established,Southeast Asia,392142,55
CRT-00054,Growth,US,45792,80
CRT-00055,Growth,US,26888,98
CRT-00056,Established,Other,170273,105
CRT-00057,Growth,US,64943,35
CRT-00058,Growth,Other,60081,11
CRT-00059,Emerging,US,398,61
CRT-00060,Emerging,US,3482,61
CRT-00061,Growth,Other,63697,106
CRT-00062,Growth,Other,37358,51
CRT-00063,Growth,US,21301,39
CRT-00064,Growth,US,22632,26
